Date,Open,High,Low,Close,Adj Close,Volume
2013-11-18,143.199997,145.899994,136.500000,137.839996,134.700287,795730
2013-11-25,137.335007,141.505005,136.509995,141.054993,137.842072,2813130
2013-12-02,140.899994,150.000000,139.110001,148.880005,145.488815,3449090
2013-12-09,150.500000,151.895004,146.000000,148.154999,144.780350,1473560
2013-12-16,145.324997,150.460007,145.154999,149.475006,146.070282,1272670
2013-12-23,150.699997,157.500000,149.500000,152.490005,149.016586,1265200
2013-12-30,155.000000,161.500000,153.865005,155.550003,152.006912,1250180
2014-01-06,157.115005,158.000000,153.009995,156.054993,152.500381,1415240
2014-01-13,156.104996,160.399994,153.199997,157.375000,153.790359,1368800
2014-01-20,158.000000,161.000000,153.429993,155.054993,151.523163,553060
2014-01-27,154.500000,155.865005,147.199997,153.115005,149.627396,1028900
2014-02-03,154.399994,154.399994,147.500000,149.389999,145.987198,361860
2014-02-10,150.199997,151.994995,146.000000,147.539993,144.179352,284020
2014-02-17,147.505005,157.800003,147.505005,152.964996,149.480774,1266890
2014-02-24,152.970001,158.500000,151.199997,157.149994,153.570435,904430
2014-03-03,157.895004,164.705002,155.000000,163.669998,159.941956,2777860
2014-03-10,163.669998,172.500000,162.270004,165.580002,161.808426,1309860
2014-03-17,165.580002,168.095001,164.104996,167.330002,163.518555,1351060
2014-03-24,168.399994,182.479996,165.000000,179.770004,175.675217,2664750
2014-03-31,180.000000,181.500000,166.160004,175.839996,171.834732,1633050
2014-04-07,176.389999,181.600006,174.404999,176.240005,172.225616,2308120
2014-04-14,176.240005,179.000000,174.600006,176.720001,172.694672,1971060
2014-04-21,176.300003,185.100006,175.440002,181.300003,177.170380,3082020
2014-04-28,183.929993,189.800003,180.199997,187.779999,183.502808,1042220
2014-05-05,187.500000,190.500000,185.100006,190.169998,185.838318,2136740
2014-05-12,189.684998,192.195007,170.500000,177.134995,173.100235,3367660
2014-05-19,177.300003,207.000000,177.000000,202.785004,198.166000,4260020
2014-05-26,206.699997,209.000000,191.500000,202.085007,197.481949,1723390
2014-06-02,203.580002,223.000000,200.869995,214.675003,209.785156,1803700
2014-06-09,219.899994,219.899994,195.440002,202.529999,197.916794,2584760
2014-06-16,206.889999,214.880005,190.565002,207.259995,202.539063,2071480
2014-06-23,206.199997,209.395004,198.100006,199.929993,195.376022,1428720
2014-06-30,201.000000,233.500000,199.500000,227.100006,221.927155,2226530
2014-07-07,231.695007,236.794998,206.220001,212.675003,209.426422,1257430
2014-07-14,215.675003,223.699997,213.000000,218.380005,215.044250,1443610
2014-07-21,218.800003,232.050003,216.500000,229.304993,225.802383,1704360
2014-07-28,224.000000,227.600006,217.115005,219.830002,216.472092,1189040
2014-08-04,224.994995,225.000000,215.005005,220.395004,217.028488,1361160
2014-08-11,220.000000,230.800003,220.000000,225.970001,222.518326,1640450
2014-08-18,229.190002,238.500000,224.500000,237.460007,233.832840,1765420
2014-08-25,234.554993,249.000000,234.554993,247.139999,243.364960,2205160
2014-09-01,247.199997,249.449997,240.050003,243.699997,239.977509,1030310
2014-09-08,245.994995,264.799988,242.000000,262.209991,258.204773,1007230
2014-09-15,262.000000,271.279999,245.619995,268.760010,264.654694,1191250
2014-09-22,266.100006,271.989990,249.199997,255.695007,251.789291,947550
2014-09-29,252.100006,281.000000,252.100006,277.005005,272.773804,1230300
2014-10-06,277.005005,279.734985,265.399994,273.170013,268.997375,1335210
2014-10-13,270.000000,278.799988,253.899994,256.570007,252.650909,1441250
2014-10-20,260.399994,271.200012,253.794998,269.825012,265.703430,332250
2014-10-27,273.200012,288.385010,271.815002,280.850006,276.560028,2026970
2014-11-03,284.000000,299.899994,273.160004,288.315002,283.911011,1186930
2014-11-10,291.500000,302.000000,285.510010,297.679993,293.132935,843840
2014-11-17,301.799988,338.500000,296.869995,309.559998,304.831512,1482970
2014-11-24,309.649994,319.899994,295.510010,309.184998,304.462250,835780
2014-12-01,310.190002,322.005005,303.209991,319.980011,315.092316,1612650
2014-12-08,322.000000,333.570007,316.204987,330.380005,325.333466,777150
2014-12-15,330.000000,337.500000,310.005005,332.670013,327.588501,1023960
2014-12-22,330.799988,351.500000,326.500000,345.940002,340.655823,628420
2014-12-29,348.190002,353.595001,340.505005,344.375000,339.114716,646210
2015-01-05,346.500000,352.000000,339.220001,345.005005,339.735107,661920
2015-01-12,345.005005,413.799988,339.850006,393.779999,387.765045,6167410
2015-01-19,394.184998,398.000000,380.010010,387.015015,381.103424,1697380
2015-01-26,387.015015,449.239990,386.005005,405.054993,398.867828,3551030
2015-02-02,409.899994,425.500000,397.100006,404.250000,398.075134,1592860
2015-02-09,404.250000,420.500000,396.500000,418.440002,412.048340,815540
2015-02-16,439.885010,439.885010,413.000000,419.119995,412.717957,1481810
2015-02-23,416.000000,425.000000,406.000000,410.709991,404.436462,1322350
2015-03-02,439.049988,447.700012,426.000000,434.184998,427.552856,1040970
2015-03-09,438.600006,438.600006,407.994995,410.760010,404.485687,905540
2015-03-16,415.399994,415.399994,390.114990,402.049988,395.908661,2035170
2015-03-23,404.299988,404.299988,392.100006,396.165009,390.113617,1247450
2015-03-30,399.899994,419.899994,396.165009,414.005005,407.681091,749690
2015-04-06,415.799988,469.899994,415.500000,452.209991,445.302521,1359910
2015-04-13,452.209991,460.505005,437.500000,452.945007,446.026337,975790
2015-04-20,447.285004,459.399994,412.000000,413.989990,407.666321,2682860
2015-04-27,421.399994,421.399994,391.350006,404.429993,398.252380,1750810
2015-05-04,405.489990,439.500000,391.959991,434.445007,427.808929,1132240
2015-05-11,433.190002,449.899994,427.005005,448.390015,441.540894,897770
2015-05-18,450.000000,460.000000,439.260010,450.700012,443.815582,1770080
2015-05-25,450.000000,458.899994,411.570007,421.654999,415.214264,3566800
2015-06-01,428.000000,449.500000,417.000000,445.065002,438.266693,1431960
2015-06-08,450.980011,477.200012,440.010010,467.644989,460.501770,2280050
2015-06-15,468.125000,524.080017,463.515015,515.804993,507.926208,3069420
2015-06-22,520.000000,549.900024,514.205017,543.575012,535.271973,4321680
2015-06-29,523.005005,559.000000,522.109985,556.109985,547.615479,2470970
2015-07-06,551.099976,566.000000,495.119995,502.470001,494.794861,4799010
2015-07-13,505.000000,530.895020,500.000000,517.885010,511.737000,3631190
2015-07-20,521.979980,526.849976,497.549988,517.010010,510.872406,3799180
2015-07-27,517.000000,554.729980,510.075012,551.130005,544.587341,3066180
2015-08-03,552.489990,572.020020,539.210022,548.265015,541.756348,2155810
2015-08-10,553.000000,557.500000,527.000000,541.174988,534.750427,2265150
2015-08-17,542.989990,542.989990,520.700012,534.434998,528.090454,2850820
2015-08-24,505.500000,525.000000,475.125000,505.250000,499.251953,7731640
2015-08-31,506.234985,525.380005,488.500000,507.559998,501.534576,3600600
2015-09-07,516.200012,516.200012,493.850006,503.684998,497.705566,2235560
2015-09-14,503.600006,527.400024,492.500000,496.559998,490.665100,5172770
2015-09-21,494.899994,502.250000,467.704987,486.809998,481.030853,3680960
2015-09-28,483.109985,520.000000,473.214996,510.755005,504.691620,2637330
2015-10-05,518.950012,524.239990,494.000000,499.635010,493.703644,2679370
2015-10-12,499.649994,505.000000,491.299988,499.799988,493.866638,1636100
2015-10-19,501.894989,542.770020,497.665009,527.304993,521.045166,6163570
2015-10-26,528.900024,536.000000,511.454987,522.234985,516.035339,2750460
2015-11-02,523.299988,537.000000,517.510010,529.734985,523.446350,1861410
2015-11-09,525.450012,540.000000,520.000000,531.065002,524.760559,1272390
2015-11-16,530.000000,548.695007,517.520020,544.825012,538.357117,2288340
2015-11-23,545.849976,564.500000,543.104980,557.934998,551.311523,2158400
2015-11-30,559.900024,562.989990,543.575012,544.710022,538.243591,1363520
2015-12-07,545.270020,559.750000,538.070007,552.460022,545.901550,1646760
2015-12-14,552.000000,585.000000,541.905029,581.380005,574.478210,2618290
2015-12-21,575.000000,595.145020,575.000000,590.090027,583.084839,1167080
2015-12-28,591.500000,611.875000,588.500000,609.585022,602.348328,1691320
2016-01-04,609.900024,636.520020,595.099976,631.450012,623.953796,3081770
2016-01-11,631.190002,638.900024,588.150024,597.530029,590.436523,3125670
2016-01-18,591.520020,597.500000,534.905029,582.065002,575.155151,4010230
2016-01-25,582.489990,598.890015,573.000000,592.840027,585.802124,1915910
2016-02-01,606.700012,675.000000,560.099976,669.835022,661.883179,10065430
2016-02-08,669.659973,683.794983,593.000000,599.674988,592.556030,5326760
2016-02-15,614.690002,630.000000,583.020020,604.809998,597.630005,3089420
2016-02-22,613.895020,613.895020,560.880005,580.844971,573.949524,3699770
2016-02-29,580.844971,650.900024,564.395020,633.455017,625.934998,3847490
2016-03-07,633.455017,647.500000,620.554993,640.039978,632.441711,1993700
2016-03-14,640.500000,666.309998,633.200012,663.239990,655.366394,3187940
2016-03-21,666.700012,689.900024,656.179993,687.419983,681.153076,2762830
2016-03-28,689.900024,703.094971,663.989990,687.750000,681.480103,2991680
2016-04-04,690.000000,717.500000,680.010010,713.349976,706.846741,2954370
2016-04-11,715.000000,752.000000,710.000000,743.039978,736.266113,2835870
2016-04-18,743.299988,753.169983,689.099976,697.114990,690.759766,5799130
2016-04-25,699.890015,713.205017,679.520020,682.909973,676.684204,5101720
2016-05-02,687.400024,728.000000,675.000000,726.445007,719.822327,4242790
2016-05-09,730.000000,781.000000,723.650024,762.614990,755.662659,5037490
2016-05-16,764.000000,785.804993,761.585022,777.049988,769.966003,4162140
2016-05-23,780.099976,783.500000,721.544983,766.789978,759.799500,10390650
2016-05-30,770.000000,809.500000,747.000000,789.955017,782.753418,20113140
2016-06-06,794.900024,794.905029,757.500000,759.565002,752.640442,4256600
2016-06-13,755.000000,768.789978,742.000000,753.015015,746.150146,3443390
2016-06-20,753.000000,774.005005,741.640015,758.809998,751.892273,2369640
2016-06-27,753.150024,824.000000,753.150024,816.719971,809.274353,3947590
2016-07-04,817.549988,828.184998,806.809998,820.780029,813.297424,1900160
2016-07-11,829.955017,878.500000,825.005005,870.005005,862.073669,6415610
2016-07-18,879.000000,887.489990,858.739990,883.780029,876.438477,5314300
2016-07-25,888.200012,1047.839966,885.349976,1037.265015,1028.648560,24476280
2016-08-01,1046.000000,1177.000000,972.344971,1009.469971,1001.084290,21328450
2016-08-08,1026.699951,1028.135010,984.900024,1015.440002,1007.004822,5929790
2016-08-15,1015.440002,1032.500000,1002.044983,1018.309998,1009.850891,2327470
2016-08-22,1016.789978,1062.000000,991.500000,1048.089966,1039.383545,3772120
2016-08-29,1057.800049,1128.000000,1041.814941,1113.979980,1104.726196,6662430
2016-09-05,1113.979980,1183.900024,1080.000000,1153.550049,1143.967651,5638029
2016-09-12,1124.800049,1133.849976,1050.000000,1087.849976,1078.813110,3549890
2016-09-19,1096.500000,1144.500000,1050.050049,1126.500000,1117.142212,4668954
2016-09-26,1118.000000,1139.849976,1011.200012,1055.900024,1047.128662,5131056
2016-10-03,1069.000000,1105.000000,1066.000000,1082.500000,1073.507568,3890165
2016-10-10,1085.150024,1092.650024,1040.099976,1061.300049,1052.483765,2170886
2016-10-17,1064.699951,1139.000000,1051.050049,1134.300049,1124.877441,3927254
2016-10-24,1136.500000,1163.300049,1052.699951,1072.550049,1063.640381,5255791
2016-10-31,1072.550049,1089.949951,970.099976,993.150024,984.899902,4868433
2016-11-07,1009.799988,1028.400024,836.150024,858.099976,850.971802,9942977
2016-11-14,858.099976,942.700012,762.299988,878.400024,871.103149,15702361
2016-11-21,891.450012,891.450012,815.500000,877.900024,870.607361,7908598
2016-11-28,876.200012,929.900024,857.799988,886.500000,879.135864,8956320
2016-12-05,887.000000,923.900024,875.650024,896.349976,888.903992,4217962
2016-12-12,896.750000,896.750000,805.000000,850.799988,843.732422,8192942
2016-12-19,853.200012,853.200012,760.500000,808.950012,802.230042,9647700
2016-12-26,810.000000,854.700012,782.049988,842.200012,835.203796,10200737
2017-01-02,852.000000,914.900024,842.000000,878.450012,871.152710,8645731
2017-01-09,887.799988,909.950012,875.099976,900.049988,892.573242,5326798
2017-01-16,900.000000,938.000000,894.450012,907.700012,900.159729,4789056
2017-01-23,909.400024,1020.000000,905.150024,995.849976,987.577454,6917798
2017-01-30,990.000000,1083.949951,989.150024,1047.349976,1038.649658,11616155
2017-02-06,1056.000000,1085.500000,1025.000000,1055.449951,1046.682373,4483408
2017-02-13,1057.000000,1118.000000,1029.000000,1089.500000,1080.449585,4045640
2017-02-20,1092.949951,1109.500000,1035.000000,1068.199951,1059.326416,3149856
2017-02-27,1070.849976,1128.900024,1019.099976,1046.250000,1037.558838,8298906
2017-03-06,1054.000000,1100.000000,1022.400024,1094.500000,1085.408081,6613981
2017-03-13,1094.500000,1183.699951,1094.500000,1159.300049,1149.669800,4093521
2017-03-20,1165.000000,1198.000000,1142.750000,1177.050049,1167.272217,5496425
2017-03-27,1177.000000,1206.000000,1167.500000,1171.099976,1161.371704,3054382
2017-04-03,1170.050049,1224.000000,1162.000000,1201.599976,1191.618164,3111256
2017-04-10,1201.699951,1292.000000,1190.000000,1273.900024,1263.317749,3865049
2017-04-17,1274.900024,1282.000000,1217.550049,1246.949951,1236.591553,2794244
2017-04-24,1251.099976,1349.900024,1242.099976,1276.199951,1265.598633,6586317
2017-05-01,1276.199951,1311.900024,1257.000000,1274.250000,1263.664795,3383859
2017-05-08,1270.250000,1344.900024,1260.500000,1314.750000,1303.828369,3453146
2017-05-15,1323.000000,1374.000000,1265.550049,1289.150024,1278.441162,6209022
2017-05-22,1299.000000,1326.699951,1190.550049,1317.800049,1306.853149,5221957
2017-05-29,1319.400024,1365.000000,1301.900024,1361.250000,1349.942017,2947627
2017-06-05,1368.550049,1382.000000,1325.000000,1376.849976,1365.412476,2824076
2017-06-12,1369.949951,1424.849976,1352.199951,1410.300049,1398.584717,3834689
2017-06-19,1405.199951,1432.900024,1366.000000,1400.750000,1389.114014,2754932
2017-06-26,1400.750000,1400.750000,1313.900024,1373.099976,1361.693726,3275176
2017-07-03,1380.000000,1413.500000,1366.500000,1391.699951,1380.139038,2414920
2017-07-10,1405.599976,1508.650024,1395.099976,1499.400024,1490.781982,3052460
